glacier_id,lat,lon
G160956E77318S,-77.318,160.956
G160960E77263S,-77.263,160.96
G160961E76682S,-76.682,160.961
G160964E77390S,-77.39,160.964
G160966E77868S,-77.868,160.966
G160967E76692S,-76.692,160.967
G160970E77494S,-77.494,160.97
G160984E76685S,-76.685,160.984
G160985E76988S,-76.988,160.985
G160986E76833S,-76.833,160.986
G160992E77643S,-77.643,160.992
G160995E76952S,-76.952,160.995
G160998E77889S,-77.889,160.998
G161011E76878S,-76.878,161.011
G161020E76757S,-76.757,161.02
G161050E77318S,-77.318,161.05
G161052E76791S,-76.791,161.052
G161062E77998S,-77.998,161.062
G161075E77245S,-77.245,161.075
G161080E77502S,-77.502,161.08
G161084E77318S,-77.318,161.084
G161088E76769S,-76.769,161.088
G161090E77307S,-77.307,161.09
G161095E76764S,-76.764,161.095
G161098E77652S,-77.652,161.098
G161109E76759S,-76.759,161.109
G161117E76841S,-76.841,161.117
G161124E77318S,-77.318,161.124
G161126E76758S,-76.758,161.126
G161137E76817S,-76.817,161.137
G161146E76748S,-76.748,161.146
G161164E77302S,-77.302,161.164
G161179E76794S,-76.794,161.179
G161183E76638S,-76.638,161.183
G161183E77679S,-77.679,161.183
G161185E77662S,-77.662,161.185
G161193E76844S,-76.844,161.193
G161196E76640S,-76.64,161.196
G161196E76811S,-76.811,161.196
G161201E76644S,-76.644,161.201
G161203E77311S,-77.311,161.203
G161214E77658S,-77.658,161.214
G161216E77656S,-77.656,161.216
G161223E76813S,-76.813,161.223
G161227E76778S,-76.778,161.227
G161246E77673S,-77.673,161.246
G161248E76811S,-76.811,161.248
G161250E76816S,-76.816,161.25
G161252E77236S,-77.236,161.252
G161253E76821S,-76.821,161.253
G161256E77657S,-77.657,161.256
G161258E77907S,-77.907,161.258
G161262E77295S,-77.295,161.262
G161273E77652S,-77.652,161.273
G161283E76804S,-76.804,161.283
G161290E77304S,-77.304,161.29
G161310E76827S,-76.827,161.31
G161310E77193S,-77.193,161.31
G161311E77307S,-77.307,161.311
G161311E77645S,-77.645,161.311
G161315E77274S,-77.274,161.315
G161316E77319S,-77.319,161.316
G161324E77649S,-77.649,161.324
G161340E77303S,-77.303,161.34
G161345E76823S,-76.823,161.345
G161353E77136S,-77.136,161.353
G161356E77498S,-77.498,161.356
G161358E76700S,-76.7,161.358
G161368E77505S,-77.505,161.368
G161372E77192S,-77.192,161.372
G161381E77315S,-77.315,161.381
G161390E77193S,-77.193,161.39
G161392E77674S,-77.674,161.392
G161394E77144S,-77.144,161.394
G161402E77478S,-77.478,161.402
G161416E77302S,-77.302,161.416
G161419E77198S,-77.198,161.419
G161421E77496S,-77.496,161.421
G161426E77313S,-77.313,161.426
G161441E77635S,-77.635,161.441
G161449E77587S,-77.587,161.449
G161457E77163S,-77.163,161.457
G161459E77908S,-77.908,161.459
G161460E77200S,-77.2,161.46
G161464E77668S,-77.668,161.464
G161469E77483S,-77.483,161.469
G161469E77585S,-77.585,161.469
G161474E76714S,-76.714,161.474
G161483E77201S,-77.201,161.483
G161490E77199S,-77.199,161.49
G161490E77477S,-77.477,161.49
G161490E77581S,-77.581,161.49
G161527E77487S,-77.487,161.527
G161539E77496S,-77.496,161.539
G161543E77607S,-77.607,161.543
G161544E77569S,-77.569,161.544
G161547E77473S,-77.473,161.547
G161558E77233S,-77.233,161.558
G161568E77483S,-77.483,161.568
G161581E77166S,-77.166,161.581
G161587E77492S,-77.492,161.587
G161593E77204S,-77.204,161.593
G161607E77234S,-77.234,161.607
G161607E77664S,-77.664,161.607
G161619E77277S,-77.277,161.619
G161620E77225S,-77.225,161.62
G161628E77251S,-77.251,161.628
G161631E77601S,-77.601,161.631
G161632E77582S,-77.582,161.632
G161645E77193S,-77.193,161.645
G161655E77182S,-77.182,161.655
G161656E77218S,-77.218,161.656
G161658E77277S,-77.277,161.658
G161681E77275S,-77.275,161.681
G161690E77290S,-77.29,161.69
G161690E77628S,-77.628,161.69
G161694E77299S,-77.299,161.694
G161701E77674S,-77.674,161.701
G161702E77311S,-77.311,161.702
G161712E77304S,-77.304,161.712
